SMILES,ID,MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,Exp. dG,Pred. dG
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1ccc(c2c1cccc2)Cl,44,378.84,4.35,1,3,6,65.15,227.77,0,27,-8.67,-9.37
O=C([O-])c1sc2ccccc2c1CCCOc1cccc2c1cccc2,23,361.44,4.43,0,4,6,49.36,217.52,0,26,-8.83,-8.11
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1c(cccc1)C(F)(F)F,29,362.33,3.56,1,3,6,65.15,218.13,0,26,-9.88,-9.11
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1c(cccc1)C(F)(F)F,29,362.33,3.56,1,3,6,65.15,218.13,0,26,-6.94,-6.29
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1cc(ccc1)Oc1ccccc1,40,386.43,4.34,1,4,8,74.38,232.61,0,29,-7.25,-8.21
O=C([O-])c1sc2cccc(c2c1CCCOc1cccc2c1cccc2)Cl,62,395.89,5.08,0,4,6,49.36,237.98,1,27,-7.96,-7.26
O=C([O-])c1sc2cccc(c2c1CCCOc1cc(C)c(Cl)c(C)c1)Cl,61,408.33,5.2,0,4,6,49.36,245.2,1,26,-8.08,-9.23
O=C([O-])c1c(c2c(cccc2Cl)[nH]1)CCCOc1cc(C)c(Cl)cc1,49,377.25,4.16,1,3,6,65.15,226.54,0,25,-8.36,-8.1
O=C([O-])c1sc2cc(ccc2c1CCCOc1cccc2c1cccc2)Cl,64,395.89,5.08,0,4,6,49.36,237.98,1,27,-9.5,-8.89
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1ccc(cc1)Oc1ccccc1,41,386.43,4.34,1,4,8,74.38,232.61,0,29,-7.13,-8.01
O=C([O-])c1sc2c(cccc2c1CCCOc1cc(C)c(Cl)c(C)c1)Cl,65,408.33,5.2,0,4,6,49.36,245.2,1,26,-8.41,-10.24
O=C([O-])c1c(c2c(cc(cc2)Cl)n1C)CCCOc1cc(C)c(Cl)c(C)c1,58,405.3,4.48,0,4,6,54.29,243.42,0,27,-9.41,-11.63
O=C([O-])c1sc2cc(ccc2c1CCCOc1cc(C)c(Cl)c(C)c1)Cl,63,408.33,5.2,0,4,6,49.36,245.2,1,26,-9.06,-10.29
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1ccccc1,27,294.33,2.54,1,3,6,65.15,177.18,0,22,-6.12,-5.81
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1ccc2c(c1)cccn2,47,345.38,3.09,1,4,6,78.04,207.91,0,26,-5.78,-6.16
O=C([O-])c1c(c2c(cccc2)n1C)CCCOc1cccc2c1cccc2,57,358.42,3.71,0,4,6,54.29,215.75,0,27,-9.04,-8.9
O=C([O-])c1c(c2c(cccc2)n1C)CCCOc1cc(C)c(Cl)c(C)c1,56,370.86,3.82,0,4,6,54.29,222.96,0,26,-9.26,-10.41
O=C([O-])c1c(c2c(cc(cc2)Cl)[nH]1)CCCOc1cc(C)c(Cl)c(C)c1,53,391.27,4.47,1,3,6,65.15,234.98,0,26,-9.96,-11.24
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1cc(c(cc1)Cl)CC,36,356.83,3.76,1,3,7,65.15,214.52,0,25,-8.18,-7.91
O=C([O-])c1sc2ccccc2c1CCCOc1cc(C)c(Cl)c(C)c1,60,373.88,4.55,0,4,6,49.36,224.74,0,25,-8.92,-9.43
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1cccc2c1CCCC2,45,348.42,3.42,1,3,6,65.15,209.74,0,26,-8.95,-8.49
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1cccc2c1cccc2,42,344.39,3.7,1,3,6,65.15,207.31,0,26,-8.9,-7.93
O=C([O-])c1c(c2c(cccc2)o1)CCCOc1cc(C)c(Cl)c(C)c1,67,357.81,4.08,0,4,6,62.5,215.11,0,25,-7.58,-9.54
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1ccc(cc1)C(F)(F)F,34,362.33,3.56,1,3,6,65.15,218.13,0,26,-6.87,-7.38
O=C([O-])c1c(c2c(cccc2)[nH]1)CCCOc1ccc2c(c1)cccc2,43,344.39,3.7,1,3,6,65.15,207.31,0,26,-7.03,-7.72
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)CCCO)F,p38a_2n,432.43,2.84,2,8,7,98.5,260.34,0,31,-11.85,-11.0
O(c1cc2c(n(C)c1=O)nc(nc2)NC1CCOCC1)c1ccccc1,p38a_3flz,352.39,2.71,1,7,4,78.27,212.14,0,26,-9.49,-9.95
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Sc1c(cccc1)F,p38a_2h,386.45,3.21,1,7,4,69.04,232.6,0,27,-9.48,-10.45
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)C[C@H](O)CO)F,p38a_2s,448.43,1.81,3,9,7,118.73,269.97,0,32,-11.11,-10.35
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NCCS(=O)(=O)C)C)F,p38a_2bb,410.4,1.86,1,8,6,103.18,247.04,0,28,-9.06,-8.52
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)C1CCS(=O)(=O)CC1)F,p38a_2q,506.53,3.2,1,9,5,112.41,304.91,1,35,-12.26,-12.62
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC(C)(CO)C)C)F,p38a_2z,376.36,2.58,2,7,5,89.27,226.59,0,27,-10.36,-11.37
Fc1ccc(c(c1)F)Oc1c(=O)n(C)c2nc(ncc2c1)N[C@H](C)Cn1ncnn1,p38a_3fmh,414.38,1.89,1,10,6,112.64,249.48,0,30,-10.83,-11.31
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Oc1cc(ccc1)F,p38a_2f,370.38,2.85,1,7,4,78.27,222.98,0,27,-8.48,-9.25
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC)C)F,p38a_2v,318.28,2.44,1,6,3,69.04,191.62,0,23,-8.97,-8.52
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Oc1c(cc(cc1)F)F,p38a_3fln,388.37,2.99,1,7,4,78.27,233.82,0,28,-10.88,-9.85
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)CC#N)F,p38a_2t,413.38,2.98,1,8,5,102.06,248.87,0,30,-11.85,-10.34
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)CC(O)(C)C)F,p38a_2r,446.45,3.22,2,8,6,98.5,268.78,0,32,-10.79,-12.09
c1nc(nc2c1cc(c(=O)n2C)Oc1ccc(cc1F)F)NC(C)C,p38a_3fly,346.34,3.22,1,6,4,69.04,208.51,0,25,-11.42,-10.58
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)C1CCN(CC1)S(=O)(=O)C)F,p38a_2u,535.57,3.05,1,9,6,115.65,322.39,1,37,-12.26,-13.04
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)CC)F,p38a_2l,402.4,3.47,1,7,5,78.27,242.26,0,29,-12.26,-11.87
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC(CO)CO)C)F,p38a_2aa,378.34,1.16,3,8,6,109.5,227.78,0,27,-9.27,-10.29
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCS(=O)(=O)CC1)C)F,p38a_2gg,436.44,2.39,1,8,4,103.18,262.71,0,30,-10.66,-9.81
c1c(c(ccc1F)Oc1c(=O)[nH]c2c(c1)cnc(n2)NC1CCOCC1)F,p38a_2k,374.35,2.98,2,6,4,89.13,225.37,0,27,-10.55,-10.25
c1(ncc2cc(Oc3ccc(F)cc3F)c(=O)n(c2n1)C)N[C@@H](C)CS(=O)(=O)C,p38a_3flq,424.43,2.24,1,8,6,103.18,255.48,0,29,-9.93,-9.69
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)CCCS(=O)(=O)C)F,p38a_2p,494.52,2.89,1,9,8,112.41,297.68,0,34,-11.2,-10.09
c1(cc(ccc1Oc1c(=O)n(C)c2c(cnc(N[C@H](Cn3ncnn3)C)n2)c1)F)F,p38a_3fmk,414.38,1.89,1,10,6,112.64,249.48,0,30,-11.83,-13.9
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Cc1c(cc(cc1)F)F,p38a_2j,386.4,2.79,1,6,4,69.04,232.62,0,28,-10.08,-9.67
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Oc1c(cccc1)F,p38a_2g,370.38,2.85,1,7,4,78.27,222.98,0,27,-10.66,-10.09
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)c1c(cccc1)Cl,p38a_2c,370.84,3.24,1,6,3,69.04,222.96,0,26,-10.46,-11.44
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)N[C@H]1CCOC1)C)F,p38a_2x,374.35,2.6,1,7,4,78.27,225.37,0,27,-10.23,-9.06
c1c(F)ccc(c1F)Oc1cc2cnc(nc2n(C)c1=O)NC(CCO)CCO,p38a_3flw,406.39,1.94,3,8,8,109.5,244.67,0,29,-10.68,-12.1
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Oc1ccc(cc1)F,p38a_2e,370.38,2.85,1,7,4,78.27,222.98,0,27,-10.7,-9.99
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCN(CC1)C(=O)C)C)F,p38a_2ee,429.43,2.82,1,7,4,89.35,258.53,0,31,-12.26,-11.08
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NCC(C)(O)C)C)F,p38a_2y,376.36,2.58,2,7,5,89.27,226.59,0,27,-9.78,-10.6
C1COCCC1Nc1ncc2cc(c(=O)n(c2n1)C)Cc1c(cccc1)F,p38a_2i,368.41,2.65,1,6,4,69.04,221.79,0,27,-10.05,-10.22
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)CCS(=O)(=O)C)F,p38a_2o,480.49,2.5,1,9,7,112.41,289.23,0,33,-10.49,-9.46
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)N[C@@H]1CC[C@H](CC1)O)C)F,p38a_2ff,402.4,3.11,2,7,4,89.27,242.26,0,29,-11.44,-10.79
c1c(c(ccc1F)Oc1c(=O)n(c2c(c1)cnc(n2)NC1CCOCC1)C1CC1)F,p38a_2m,414.41,3.79,1,7,5,78.27,249.49,0,30,-10.96,-12.96
